Year,FullMoonDates
2005,25 January 2005
2005,24 February 2005
2005,25 March 2005
2005,24 April 2005
2005,23 May 2005
2005,22 June 2005
2005,21 July 2005
2005,19 August 2005
2005,18 September 2005
2005,17 October 2005
2005,16 November 2005
2005,15 December 2005
2006,14 January 2006
2006,13 February 2006
2006,15 March 2006
2006,13 April 2006
2006,13 May 2006
2006,11 June 2006
2006,11 July 2006
2006,9 August 2006
2006,7 September 2006
2006,7 October 2006
2006,5 November 2006
2006,5 December 2006
2007,3 January 2007
2007,2 February 2007
2007,4 March 2007
2007,2 April 2007
2007,2 May 2007
2007,1 June 2007
2007,30 June 2007
2007,30 July 2007
2007,28 August 2007
2007,26 September 2007
2007,26 October 2007
2007,24 November 2007
2007,24 December 2007
2008,22 January 2008
2008,21 February 2008
2008,21 March 2008
2008,20 April 2008
2008,20 May 2008
2008,18 June 2008
2008,18 July 2008
2008,16 August 2008
2008,15 September 2008
2008,14 October 2008
2008,13 November 2008
2008,12 December 2008
2009,11 January 2009
2009,9 February 2009
2009,11 March 2009
2009,9 April 2009
2009,9 May 2009
2009,7 June 2009
2009,7 July 2009
2009,6 August 2009
2009,4 September 2009
2009,4 October 2009
2009,2 November 2009
2009,2 December 2009
2009,31 December 2009
2010,30 January 2010
2010,28 February 2010
2010,30 March 2010
2010,28 April 2010
2010,28 May 2010
2010,26 June 2010
2010,26 July 2010
2010,24 August 2010
2010,23 September 2010
2010,23 October 2010
2010,21 November 2010
2010,21 December 2010
2011,19 January 2011
2011,18 February 2011
2011,19 March 2011
2011,18 April 2011
2011,17 May 2011
2011,15 June 2011
2011,15 July 2011
2011,13 August 2011
2011,12 September 2011
2011,12 October 2011
2011,10 November 2011
2011,10 December 2011
2012,9 January 2012
2012,7 February 2012
2012,8 March 2012
2012,6 April 2012
2012,6 May 2012
2012,4 June 2012
2012,3 July 2012
2012,2 August 2012
2012,31 August 2012
2012,30 September 2012
2012,29 October 2012
2012,28 November 2012
2012,28 December 2012
2013,27 January 2013
2013,25 February 2013
2013,27 March 2013
2013,25 April 2013
2013,25 May 2013
2013,23 June 2013
2013,22 July 2013
2013,21 August 2013
2013,19 September 2013
2013,19 October 2013
2013,17 November 2013
2013,17 December 2013
2014,16 January 2014
2014,15 February 2014
2014,16 March 2014
2014,15 April 2014
2014,14 May 2014
2014,13 June 2014
2014,12 July 2014
2014,10 August 2014
2014,9 September 2014
2014,8 October 2014
2014,6 November 2014
2014,6 December 2014
2015,5 January 2015
2015,4 February 2015
2015,5 March 2015
2015,4 April 2015
2015,4 May 2015
2015,2 June 2015
2015,2 July 2015
2015,31 July 2015
2015,29 August 2015
2015,28 September 2015
2015,27 October 2015
2015,25 November 2015
2015,25 December 2015
2016,24 January 2016
2016,22 February 2016
2016,23 March 2016
2016,22 April 2016
2016,21 May 2016
2016,20 June 2016
2016,20 July 2016
2016,18 August 2016
2016,16 September 2016
2016,16 October 2016
2016,14 November 2016
2016,14 December 2016
2017,12 January 2017
2017,11 February 2017
2017,12 March 2017
2017,11 April 2017
2017,10 May 2017
2017,9 June 2017
2017,9 July 2017
2017,7 August 2017
2017,6 September 2017
2017,5 October 2017
2017,4 November 2017
2017,3 December 2017
2018,2 January 2018
2018,31 January 2018
2018,2 March 2018
2018,31 March 2018
2018,30 April 2018
2018,29 May 2018
2018,28 June 2018
2018,27 July 2018
2018,26 August 2018
2018,25 September 2018
2018,24 October 2018
2018,23 November 2018
2018,22 December 2018
2019,21 January 2019
2019,19 February 2019
2019,21 March 2019
2019,19 April 2019
2019,18 May 2019
2019,17 June 2019
2019,16 July 2019
2019,15 August 2019
2019,14 September 2019
2019,13 October 2019
2019,12 November 2019
2019,12 December 2019
2020,10 January 2020
2020,9 February 2020
2020,9 March 2020
2020,8 April 2020
2020,7 May 2020
2020,5 June 2020
2020,5 July 2020
2020,3 August 2020
2020,2 September 2020
2020,1 October 2020
2020,31 October 2020
2020,30 November 2020
2020,30 December 2020
2021,28 January 2021
2021,27 February 2021
2021,28 March 2021
2021,27 April 2021
2021,26 May 2021
2021,24 June 2021
2021,24 July 2021
2021,22 August 2021
2021,21 September 2021
2021,20 October 2021
2021,19 November 2021
2021,19 December 2021
2022,18 January 2022
2022,16 February 2022
2022,18 March 2022
2022,16 April 2022
2022,16 May 2022
2022,14 June 2022
2022,13 July 2022
2022,12 August 2022
2022,10 September 2022
2022,9 October 2022
2022,8 November 2022
2022,8 December 2022
2023,7 January 2023
2023,5 February 2023
2023,7 March 2023
2023,6 April 2023
2023,5 May 2023
2023,4 June 2023
2023,3 July 2023
2023,1 August 2023
2023,31 August 2023
2023,29 September 2023
2023,28 October 2023
2023,27 November 2023
2023,27 December 2023
